student_ID,course_ID,n
79220,AnPhA-S116-02,18
79352,PhysA-S116-01,12
79596,PhysA-S116-01,13
79859,AnPhA-T116-01,15
80822,OcnA-S216-01,17
82588,FrScA-S116-02,21
82588,FrScA-S116-04,41
82588,FrScA-T116-01,35
82588,OcnA-S116-01,2
82588,OcnA-S116-03,11
82588,OcnA-S216-01,100
84632,PhysA-T116-01,19
84640,AnPhA-T116-01,16
84641,AnPhA-T116-01,16
84749,AnPhA-T116-01,17
84757,AnPhA-T116-01,22
84794,BioA-T116-01,10
84932,OcnA-S216-01,19
85123,FrScA-S216-01,39
85248,AnPhA-S216-01,24
85249,AnPhA-S116-01,14
85258,FrScA-S216-01,39
85287,FrScA-S216-01,40
85292,BioA-S116-01,29
85323,FrScA-S116-01,18
85348,FrScA-S216-03,37
85355,OcnA-S116-01,3
85390,PhysA-S116-01,2
85410,OcnA-S116-02,20
85411,AnPhA-S116-01,25
85416,FrScA-S116-01,39
85431,FrScA-S116-01,36
85432,FrScA-S116-01,20
85433,FrScA-S116-01,33
85443,FrScA-S116-01,41
85482,OcnA-S116-02,6
85522,PhysA-S116-01,12
85539,FrScA-S116-01,39
85567,FrScA-S116-02,46
85573,FrScA-S116-03,22
85574,FrScA-S116-03,39
85579,FrScA-S116-01,40
85583,AnPhA-S116-01,16
85583,FrScA-S216-01,32
85642,FrScA-S216-01,37
85644,FrScA-S216-01,34
85644,OcnA-S116-01,13
85649,FrScA-S116-01,37
85650,FrScA-S116-01,39
85651,FrScA-S116-01,27
85659,FrScA-S216-01,33
85661,FrScA-S116-02,36
85662,FrScA-S116-01,3
85663,FrScA-S116-01,30
85665,FrScA-S116-01,40
85668,FrScA-S116-01,21
85698,FrScA-S116-02,13
85700,FrScA-S116-03,32
85701,FrScA-S116-03,49
85702,FrScA-S116-03,35
85704,FrScA-S116-03,29
85791,FrScA-S116-01,42
85792,FrScA-S116-01,39
85796,FrScA-S216-01,39
85865,AnPhA-S116-01,13
85866,AnPhA-S116-01,19
85867,FrScA-S216-04,46
85891,FrScA-S116-03,37
85929,FrScA-S116-01,37
85930,FrScA-S116-01,39
85953,PhysA-S116-01,15
85962,PhysA-S116-01,16
85970,AnPhA-S116-01,16
86002,FrScA-S216-04,29
86067,BioA-S116-01,24
86072,AnPhA-S116-01,25
86105,FrScA-S116-01,40
86110,BioA-S116-01,24
86113,BioA-S116-01,25
86119,AnPhA-S116-01,20
86130,BioA-S116-01,18
86133,OcnA-S116-02,18
86202,BioA-S116-01,8
86216,BioA-S116-01,26
86229,FrScA-S216-01,39
86240,OcnA-S216-01,7
86251,FrScA-S216-01,34
86267,AnPhA-S116-01,1
86268,AnPhA-S216-01,29
86271,FrScA-S116-01,37
86275,AnPhA-S116-01,27
86277,AnPhA-S116-01,24
86280,FrScA-S116-01,39
86286,AnPhA-S116-01,26
86294,AnPhA-S116-01,29
86296,OcnA-S216-01,20
86309,FrScA-S116-03,40
86314,AnPhA-S116-02,22
86339,FrScA-S116-01,40
86340,FrScA-S116-01,39
86340,OcnA-S216-01,3
86349,FrScA-S216-01,34
86349,OcnA-S116-01,21
86353,PhysA-S116-01,20
86364,FrScA-S116-01,39
86365,FrScA-S116-01,41
86429,AnPhA-S116-01,15
86432,AnPhA-S116-01,23
86446,AnPhA-S116-01,19
86451,AnPhA-S116-01,25
86455,FrScA-S116-01,30
86455,OcnA-S216-01,22
86460,OcnA-S116-01,14
86476,AnPhA-S116-01,22
86476,FrScA-S116-01,43
86479,AnPhA-S116-01,24
86484,AnPhA-S116-01,20
86488,AnPhA-S116-01,25
86490,FrScA-S216-01,40
86492,AnPhA-S116-01,2
86504,AnPhA-S116-01,29
86515,FrScA-S216-01,33
86527,OcnA-S216-01,10
86543,FrScA-S116-01,21
86580,BioA-S116-01,12
86588,AnPhA-S116-01,6
86608,AnPhA-S116-01,25
86618,FrScA-S116-03,11
86627,FrScA-S116-02,37
86679,FrScA-S116-01,40
86689,OcnA-S116-02,13
86697,OcnA-S216-02,21
86707,AnPhA-S116-02,23
86709,FrScA-S116-01,50
86758,OcnA-S116-01,19
86792,FrScA-S116-01,37
86793,FrScA-S116-01,41
86794,FrScA-S116-01,40
86803,FrScA-S116-01,33
86815,FrScA-S116-01,55
