student_ID,course_ID,subject,semester,section,pre_int,pre_uv,pre_percomp,pre_tv,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,post_int,post_uv,post_tv,post_percomp,date,intervention_dummy,gender,enrollment_reason,enrollment_status,final_grade,time_spent,ts_60,male_dummy,final_grade_s
56152,AnPhA-S116-02,AnPhA,S116,02,4.8,4.333333333333333,4,4.714285714285714,5,5,3,4,5,5,5,5,3,5,NA,NA,NA,NA,NA,0,F,Scheduling Conflict,Approved/Enrolled,94.1248,4438.8165,73.98027499999999,0,0.781746459888856
57188,AnPhA-S116-02,AnPhA,S116,02,4,5,3.5,4.285714285714286,4,5,3,5,4,5,4,4,5,3,NA,NA,NA,NA,NA,0,M,Learning Preference of the Student,Approved/Enrolled,80.7344,5305.4334,88.42389,1,0.15714865620705
57224,FrScA-S116-03,FrScA,S116,03,4.4,3,3.5,3.857142857142857,4,3,3,4,4,4,4,5,2,5,2.25,1.6666666666666667,2,4,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,87.09360731,2356.4668,39.27444666666667,0,0.4537751138919054
57489,PhysA-S116-01,PhysA,S116,01,4.6,3.6666666666666665,4.5,4.142857142857143,5,4,5,5,4,4,4,4,3,5,4.25,4,4.142857142857143,4.5,NA,1,M,Course Unavailable at Local School,Approved/Enrolled,94.79166667,1863.5169,31.058615,1,0.8128525849807579
57981,OcnA-S116-01,OcnA,S116,01,4.2,3.3333333333333335,2.5,3.857142857142857,4,2,2,4,4,4,3,4,4,5,4,4.333333333333333,4.142857142857143,4,NA,1,F,Learning Preference of the Student,Approved/Enrolled,66.69011725,3343.3333,55.72222166666666,0,-0.49794963510137025
58168,AnPhA-S216-01,AnPhA,S216,01,4.2,4.666666666666667,3.5,4.285714285714286,4,5,3,5,4,5,4,4,4,4,NA,NA,NA,NA,NA,0,F,Other,Approved/Enrolled,96.5216,433.3669,7.222781666666666,0,0.893545660500082
58178,OcnA-S116-01,OcnA,S116,01,4,4,4.5,4,4,4,4,4,5,5,5,4,3,3,3.75,4,3.857142857142857,4,NA,1,M,Course Unavailable at Local School,Approved/Enrolled,92.68174204,3502.0004,58.36667333333333,1,0.7144347416129613
60186,AnPhA-S116-01,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,4,4,4,5,4,5,5,4,4,4,NA,NA,NA,NA,NA,1,M,Course Unavailable at Local School,Approved/Enrolled,86.272,2087.0501,34.784168333333334,1,0.415451081651277
61941,FrScA-S116-01,FrScA,S116,01,4.6,4.333333333333333,4,4.571428571428571,5,4,4,4,4,4,4,5,5,5,4.5,4.333333333333333,4.428571428571429,4,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,94.29223744,1637.9504,27.299173333333332,0,0.7895566117348132
61965,BioA-S116-01,BioA,S116,01,3.6,4,3,3.7142857142857144,3,4,3,4,4,5,3,4,3,3,4.25,4.333333333333333,4.285714285714286,3.5,NA,1,M,Learning Preference of the Student,Approved/Enrolled,77.65698925,615.2168,10.253613333333334,1,0.013602235228081613
62157,FrScA-S116-02,FrScA,S116,02,5,4,5,4.571428571428571,5,4,5,5,5,5,5,5,3,5,5,4,4.571428571428571,5,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,70.62100457,2497.1666,41.61944333333334,0,-0.3145926340713294
62175,OcnA-S216-01,OcnA,S216,01,3.2,2,2.5,2.7142857142857144,3,2,2,3,4,2,3,4,2,2,NA,NA,NA,NA,NA,0,F,Learning Preference of the Student,Approved/Enrolled,73.77386935,1403.6834,23.39472333333333,0,-0.16752664523651334
62576,PhysA-S116-01,PhysA,S116,01,4,4.333333333333333,4,4.142857142857143,4,4,4,4,4,5,4,4,4,4,4,4.333333333333333,4.142857142857143,4,NA,1,M,Course Unavailable at Local School,Approved/Enrolled,94.44444444,793.95,13.2325,1,0.7966563367546035
62752,PhysA-S116-01,PhysA,S116,01,4.2,4.333333333333333,4,4.285714285714286,4,4,4,4,5,5,4,4,4,4,4.5,4.666666666666667,4.571428571428571,4,NA,1,M,Course Unavailable at Local School,Approved/Enrolled,93.77777778,898.2998,14.971663333333334,1,0.7655595411679228
62754,PhysA-S116-01,PhysA,S116,01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.6666666666666665,3.857142857142857,3.5,NA,1,M,Course Unavailable at Local School,Approved/Enrolled,96.34027778,674.3167,11.238611666666666,1,0.8850878503995087
64930,FrScA-T116-01,FrScA,T116,01,5,3.3333333333333335,3,4.285714285714286,5,3,3,5,5,4,3,5,3,5,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,83.23287671,3424.5662,57.076103333333336,0,0.27369058666589724
65116,FrScA-S216-01,FrScA,S216,01,4.8,3.6666666666666665,3.5,4.428571428571429,5,3,3,4,5,4,4,5,4,5,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,93.22799097,1918.6166,31.976943333333335,0,0.739914628841239
65627,AnPhA-S116-02,AnPhA,S116,02,4,4,3.5,4,4,4,3,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,0,F,Learning Preference of the Student,Approved/Enrolled,81.4872,2164.9001,36.08166833333333,0,0.1922631581346749
66689,FrScA-S216-01,FrScA,S216,01,4.4,3.3333333333333335,3.5,3.857142857142857,4,3,3,5,5,4,4,4,3,4,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,98.64559819,1137.8334,18.96389,0,0.9926199678021886
66693,AnPhA-S116-01,AnPhA,S116,01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,1,M,Course Unavailable at Local School,Approved/Enrolled,93.7536,2309.0334,38.483889999999995,1,0.764431763933046
66740,OcnA-S116-01,OcnA,S116,01,4,3,3,3.5714285714285716,4,3,3,4,4,3,3,4,3,4,4,3.6666666666666665,3.857142857142857,3.5,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,99.32998325,965.2994,16.08832333333333,0,1.0245432415915183
66811,AnPhA-S116-01,AnPhA,S116,01,4,4,NA,4,4,4,4,4,4,4,NA,4,4,4,NA,NA,NA,NA,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,91.2016,5298.8507,88.31417833333333,0,0.6453932292368477
67013,AnPhA-S216-01,AnPhA,S216,01,4.2,4,2.5,4.142857142857143,4,4,2,4,4,4,3,4,4,5,NA,NA,NA,NA,NA,0,M,Course Unavailable at Local School,Approved/Enrolled,46.072,2297.2332,38.287220000000005,1,-1.4596857109769197
67102,PhysA-S216-01,PhysA,S216,01,3.8,3.6666666666666665,5,3.5714285714285716,3,4,5,5,4,5,5,4,2,3,NA,NA,NA,NA,NA,0,M,Scheduling Conflict,Approved/Enrolled,89.86111111,719.2833,11.988055000000001,1,0.5828658651137548
67463,FrScA-S216-01,FrScA,S216,01,3.2,4,3,3.4285714285714284,3,4,3,4,3,4,3,3,4,3,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,91.4221219,1359.033,22.65055,0,0.65567951600974
